n,name,audio,page_name,question,answer,verseText,verseLocation,album,vol
1,Did Christ Remain in the Tomb?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2001%20Did%20Christ%20Remain%20in%20the%20Tomb-.m4a,did_christ_remain_in_the_tomb,Did Christ remain in the tomb?,"No, Christ is risen on the third day, just as He did say.","The angel said to the women, ""Do not be afraid, for I know you are looking for Jesus. He is risen, just as He did say. Come and see the place where He lay. Go tell the disciples, quickly tell the disciples.""",Matthew 28:5-6,Christ and His Return,6
2,United with Him,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2002%20United%20with%20Him.m4a,united_with_him,,United with Him.,"For, if we have been united with Him, in a death like His, we will certainly be united with Him in a resurrection like His. Our old self was crucified with Him so that the body ruled by sin might be done away with, no longer slaves to sin; the old self was crucified with Him. Because anyone who has died has been set free from sin, crucified. If we have died with Christ, we will also live with Him.",Romans 6:5-8,Christ and His Return,6
3,Where Is Christ Now?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2003%20Where%20Is%20Christ%20Now-.m4a,where_is_christ_now,Where is Christ now?,"Christ is in heaven, and He's praying for me; He sits at the right hand of God.","He suffered under Pontius Pilate; He was crucified, dead and buried. He descended into hell. The third day He rose again from the dead. He ascended into heaven, and He sits at the right hand of God, the Father almighty. He will come to judge the quick and the dead.",-Apostles' Creed,Christ and His Return,6
4,Will Christ Come Again?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2004%20Will%20Christ%20Come%20Again-.m4a,will_christ_come_again,Will Christ come again?,"Yes, He is coming soon.","Do not let your hearts be troubled. You believe in God, believe also in me.;I am coming soon. My reward is with me. I will give to each person according to what they have done.;Come quickly, Lord.",John 14:1;Revelation 22:12;Revelation 22:20,Christ and His Return,6
5,Run to Jesus,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2005%20Run%20to%20Jesus.m4a,run_to_jesus,,"Run to Jesus.
Let the one who is thirsty come and drink of the waters. Come and drink of the waters, free gift of waters, life-giving waters, come. Because...
Christ will return to judge the world on the last day.","Come again, Jesus. Come to Jesus! Run to Jesus!","Revelation 22:12, 17, 20",Christ and His Return,6
6,When Will Christ Return?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2006%20When%20Will%20Christ%20Return-.m4a,when_will_christ_return,When will Christ return?,No one knows when Christ will return.,"But about that day or hour, no one knows, not even the angels in heaven, nor the Son, but only the Father.;Keep watch; you do not know on what day your Lord will come.",Matthew 24:36;Matthew 24:42,Christ and His Return,6
7,Well Done Good and Faithful Servant,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2007%20Well%20Done%20Good%20and%20Faithful%20Servant.m4a,well_done_good_and_faithful_servant,,"Well done, good and faithful servant.","I gave him five talents and ten I got back. I gave him two talents and four I got back. Well done, good and faithful servant, you've been faithful over a little; you've been faithful with what you've been given, well done. Enter into the joy of your master. I gave him one talent and one I got back. He dug a hole in the ground, only one I got back, he was afraid, he hid my talent, wicked and lazy one. Take his talent and give it to him who has ten talents. Don't hide your talents in the ground, don't bury your talents, don't hide your gifts of God.",Matthew 25,Christ and His Return,6
8,What Happens to a Man When He Dies?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2008%20What%20Happens%20to%20a%20Man%20When%20He%20Dies-.m4a,what_happens_to_a_man_when_he_dies,What happens to a man when he dies?,"The body returns to the dust, and the spirit will go to either heaven or hell.","The wages of sin is death, but the free gift is eternal life in Christ.",Romans 6:23,Christ and His Return,6
9,What Will Happen When Christ Returns?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2009%20What%20Will%20Happen%20When%20Christ%20Returns-.m4a,what_will_happen_when_christ_returns,What will happen when Christ returns?,"Our bodies will be raised from the dust, and united again with our spirits.","And after my skin has been thus destroyed, yet in my flesh, I shall see God.",Job 19:25-27,Christ and His Return,6
10,What Will Happen to the Wicked On Judgment Day?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2010%20What%20Will%20Happen%20to%20the%20Wicked%20on%20Judgment%20Day-.m4a,what_will_happen_to_the_wicked_on_judgment_day,What will happen to the wicked on Judgment day?,The wicked will go down on judgment day and will be cast into the lake of fire.,"And if anyone's name was not found written in the book of life, he was thrown into the lake of fire.",Revelation 20:15,Christ and His Return,6
11,What Is the Lake of Fire?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%206-%20Christ%20and%20His%20Return%20-%2011%20What%20is%20the%20Lake%20of%20Fire-.m4a,what_is_the_lake_of_fire,What is the lake of fire?,The lake of fire is a place of terrible and endless torment.,"If your hand causes you to stumble, cut it off. If your foot causes you to fall, cut it off. It is better to enter life maimed than with two hands and be thrown into hell.",Mark 9:43-44,Christ and His Return,6
