n,name,audio,page_name,question,answer,verseText,verseLocation,album,vol
14,Can You Go to Heaven With a Sinful Nature?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2014%20Can%20You%20Go%20To%20Heaven%20With%20A%20Sinful%20Nature-.m4a,can_you_go_to_heaven_with_a_sinful_nature,Can you go to Heaven with a sinful nature?,"No, my heart must be changed before I can go to Heaven.","For God so loved the world, that He gave His one and only Son, that whoever believes in Him shall not perish but have eternal life.",John 3:16,The Fall and Salvation,2
15,What Is This Change of Heart Called?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2015%20What%20Is%20This%20Change%20Of%20Heart%20Called-.m4a,what_is_this_change_of_heart_called,What is this change of heart called?,"Regeneration, being ""born again.""","I will give you a new heart, and put a new spirit in you. I will remove from you your heart of stone and give you a heart of flesh. I will put my Spirit in you, and move you to follow my decrees and you will be careful to keep my laws.",Ezekiel 36:26-27,The Fall and Salvation,2
16,Who Can Change a Sinner's Heart?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2016%20Who%20Can%20Change%20A%20Sinner's%20Heart-.m4a,who_can_change_a_sinner's_heart,Who can change a sinner's heart?,Only God can change a sinner's heart.,Salvation is found in no one else; for there is no other name under heaven given to men by which we must be saved.,Acts 4:12,The Fall and Salvation,2
17,Who Is the Redeemer of God's Elect?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2017%20Who%20Is%20The%20Redeemer%20Of%20God's%20Elect-.m4a,who_is_the_redeemer_of_god's_elect,Who is the Redeemer of God's elect?,"The only Savior of men is the Lord Jesus Christ, who being the eternal Son of God, became man and so is both God and man in two natures and one person.","""I am the way, the truth, and the life. No one comes to the Father except through me.""",John 14:6,The Fall and Salvation,2
18,How Is Your Heart Changed?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2018%20How%20is%20Your%20Heart%20Changed-.m4a,how_is_your_heart_changed,How is your heart changed?,My heart is changed by the Holy Spirit because of the grace of God.,"When the kindness and love of God appeared, God our Savior, He saved us, not because of righteous things we've done, but because of His mercy. He saved us through the washing of rebirth and renewal by the Holy Spirit, whom He poured out on us generously through Jesus Christ our Savior.",Titus 3:4-6,The Fall and Salvation,2
19,What Is Grace?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2019%20What%20is%20Grace-.m4a,what_is_grace,What is Grace?,Grace is God's kindness to us when we deserve punishment.,"You are a people holy to the Lord your God. The Lord, your God, has chosen you out of all the earth, a people, God's treasured possession.",Deuteronomy 7:6,The Fall and Salvation,2
20,What Work Did Christ Do to Save You?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2020%20What%20Work%20Did%20Christ%20Do%20To%20Save%20You-.m4a,what_work_did_christ_do_to_save_you,What work did Christ do to save you?,Christ perfectly kept the law of God and suffered the punishment due for my sins.,"God made Him, who had no sin, to be sin for us, so that in Him we might become the righteousness of God.",2 Corinthians 5:21,The Fall and Salvation,2
21,Can Anyone Be Saved By His Own Works?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2021%20Can%20Anyone%20Be%20Saved%20By%20His%20Own%20Works-.m4a,can_anyone_be_saved_by_his_own_works,Can anyone be saved by his own works?,No one can be saved by his own works.,"For it is by grace you have been saved through faith. And this not from yourselves, it is the gift of God.",Ephesians 2:8-9,The Fall and Salvation,2
22,What Do We Gain from the Work of Christ?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2022%20What%20Do%20We%20Gain%20From%20The%20Work%20Of%20Christ-.m4a,what_do_we_gain_from_the_work_of_christ,What do we gain from the work of Christ?,"God regenerates, justifies, and sanctifies those who believe in Christ.","You were washed, you were sanctified, you were justified in the name of the Lord Jesus Christ and by the Spirit of God.",1 Corinthians 6:11,The Fall and Salvation,2
23,What Is Justification?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2023%20What%20is%20Justification-.m4a,what_is_justification,What is justification?,Justification is God forgiving all my sins and declaring me to be righteous.,There is therefore now no condemnation for those who are in Christ Jesus.,Romans 8:1,The Fall and Salvation,2
