n,name,audio,page_name,question,answer,verseText,verseLocation,album,vol
11,What Is a Sacrament?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2011%20What%20is%20a%20Sacrament-.m4a,what_is_a_sacrament,What is a sacrament?;How many sacraments are there in the Bible?;What are the two sacraments?,"A sacrament is a holy ordinance, in which the benefits of Christ's death and resurrection are represented in the elements and applied to the believer.
There are two sacraments in the Bible.
The two sacraments are baptism and the Lord's Supper.","This is my body, which is broken for you. Do this in remembrance of me.",1 Corinthians 11:23-24,Prayer and The Sacraments,5
12,Who Gave the Sacraments?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2012%20Who%20Gave%20the%20Sacraments-.m4a,who_gave_the_sacraments,Who gave us the sacraments?,Jesus gave us the sacraments.,"Signed and sealed, I'm a child of the covenant. I'm a child of God, sealed with the promises of God. Sealed with the promise, Jesus gave me the sacraments. I must be baptized, cleansed by the washing of His blood. Cleansed by the washing, I will take the Lord's Supper; I will eat of the bread, this cup is the new covenant. I'm sealed, by the washing of His blood.",1 Corinthians 11,Prayer and The Sacraments,5
13,Why Did Christ Appoint These Sacraments?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2013%20Why%20Did%20Christ%20Appoint%20These%20Sacraments-.m4a,why_did_christ_appoint_these_sacraments,Why did Christ appoint the sacraments?,"Christ appointed sacraments to mark us off as His, and to give us strength and comfort.","Repent and be baptized, every one of you, in the name of Jesus Christ; He will forgive you.",Acts 2:38,Prayer and The Sacraments,5
14,What Element Is Used in Baptism?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2014%20What%20Element%20Is%20Used%20in%20Baptism-.m4a,what_element_is_used_in_baptism,What element is used in baptism?,The sign that's used in baptism is washing with water.,"Confessing their sins, they were baptized in the Jordan River; union with Christ by cleansing through His blood.",Matthew 3:6-17,Prayer and The Sacraments,5
15,What Does Baptism Represent?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2015%20What%20Does%20Baptism%20Represent-.m4a,what_does_baptism_represent,What does baptism represent?,Baptism represents a sign and seal of our union with Christ and an outward sign of being cleansed by His blood.,"Let us draw near to God with sincere hearts for God, with the full assurance that faith brings, having hearts sprinkled to cleanse from guilt and our bodies washed, pure water, washed.",Hebrews 10:22,Prayer and The Sacraments,5
16,In Whose Name Are We Baptized?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2016%20In%20Whose%20Name%20are%20We%20Baptized-.m4a,in_whose_name_are_we_baptized,In whose name are we baptized?,"In the name of the Father, the Son, and the Holy Spirit.","Therefore go and make disciples everywhere, baptizing them in the name of the Father and of the Son and of the Holy Spirit.",Matthew 28:19,Prayer and The Sacraments,5
17,Who Should Be Baptized?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2017%20Who%20Should%20Be%20Baptized-.m4a,who_should_be_baptized,Who should be baptized?,Believers and their children should be baptized.,"""I will establish my everlasting covenant between me and you and your descendants after you, to be your God and the God of your descendants after you for the generations to come."";The promise is for you and your children and for all who are far off and your descendants after you, for all whom the Lord God will call.;Believe in the Lord Jesus Christ, and you will be saved, you and your household.",Genesis 17:7;Acts 2:39;Acts 16:31,Prayer and The Sacraments,5
18,Does Christ Care for Little Children?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2018%20Does%20Christ%20Care%20for%20Little%20Children-.m4a,does_christ_care_for_little_children,Does Christ care for little children?,"Yes, for He says in Mark 10:14, ""Let the children come to me; don't forbid the children come to me, the kingdom of God belongs to such as these.""","Let the little children come to me, don't forbid the children come to me; the kingdom belongs to such as these. Truly I say to you, anyone who will not receive the kingdom of God like a little child will never enter the kingdom of God.",Mark 10:14-15,Prayer and The Sacraments,5
19,What Is the Lord's Supper?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2019%20What%20Is%20the%20Lord’s%20Supper-.m4a,what_is_the_lord's_supper,What is the Lord's Supper?,"The Lord's Supper is a remembrance of Christ's death for us on the cross, in which by faith we partake of His benefits.",,,Prayer and The Sacraments,5
20,What Do the Bread and the Wine Represent?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2020%20What%20Do%20the%20Bread%20and%20the%20Wine%20Represent-.m4a,what_do_the_bread_and_the_wine_represent,What do the bread and the wine represent?,"The bread symbolizes Christ's body that was crucified for us, the many. The wine symbolizes Christ's blood that was shed for us, poured out for the many, for the forgiveness of our sins.","Then He took the cup, gave thanks and offered it to them, saying, ""Take, drink of this cup, all of you. This is my blood of the covenant, which is poured out for the many for the forgiveness of sins.""",Matthew 26:28,Prayer and The Sacraments,5
