n,name,audio,page_name,question,answer,verseText,verseLocation,album,vol
1,You Shall Have No Other Gods Before Me,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2001%20You%20Shall%20Have%20No%20Other%20gods%20Before%20Me.m4a,you_shall_have_no_other_gods_before_me,What is the 1st commandment?,You shall have no other gods before me.,"So Moses went down from the mountain to the people, he went down from the mountain, and he said, ""God spoke all these words for you, my dears."" I am the Lord your God, who brought you out of Egypt, out of the land of slavery. You shall have no other gods before me. You shall have no other gods besides me.""",Exodus 19:25-20:1,The Word of God,4
2,You Shall Not Make for Yourself an Idol,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2002%20You%20Shall%20Not%20Make%20for%20Yourself%20an%20Idol.m4a,you_shall_not_make_for_yourself_an_idol,What is the 2nd commandment?,You shall not make for yourself an idol.,"You shall not make for yourself an idol in the form of anything. You shall not bow down or worship them; for I, the Lord your God, am a jealous God, punishing the children for the sin of the fathers to the third and the fourth generation of those who hate me, but showing mercy, showing love to a thousand generations of those who love me and keep my commands.",Exodus 20:4-6,The Word of God,4
3,Thou Shalt Not Take the Name of the Lord God in Vain,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2003%20Thou%20Shalt%20Not%20Take%20the%20Name%20of%20the%20Lord%20God%20in%20Vain.m4a,thou_shalt_not_take_the_name_of_the_lord_god_in_vain,What is the 3rd commandment?,Thou shalt not take the name of the Lord God in vain.,"Oh, give to the Lord, you sons of the mighty, both glory and strength to Jehovah accord. Oh, give to the Lord, His name's greatness of glory; in splendor of holiness, worship the Lord. Oh, the voice of Jehovah resounds on the waters; the glorious God thunders forth from the heights. The Lord is upon the great sweep of the waters, the Lord's voice in splendor, the Lord's voice in might.",Psalm 29:1-2,The Word of God,4
4,Sabbath Rest,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2004%20Sabbath%20Rest.m4a,sabbath_rest,What is the 4th commandment?,"Remember the Sabbath day, to keep it holy.","There remains then a Sabbath rest for the people of God. For in six days God made the heavens and the earth, then He rested the seventh day from His own work. He who enters God's rest also rests from his own works. Make every effort to enter that rest, so you won't fall. Therefore, since we have a great High Priest who's gone before us, Jesus the Son of God, let us hold firmly to the faith that we profess. He was tempted, like us, yet without sin. Let us approach the throne of grace with confidence, so we may receive mercy in our time of need. Rest in Jesus, our great High Priest, the Son of God.",Hebrews 4,The Word of God,4
5,Honor Your Father and Your Mother,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2005%20Honor%20Your%20Father%20and%20Your%20Mother.m4a,honor_your_father_and_your_mother,What is the 5th commandment?,Honor your father and your mother.,"Children, obey your parents in the Lord, for this is right. ""Honor your father and your mother"" which is the first commandment with a promise, ""that it may go well with you and you may live long on the earth.""",Ephesians 6:1,The Word of God,4
6,Thou Shall Not Murder,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2006%20Thou%20Shall%20Not%20Murder.m4a,thou_shall_not_murder,What is the 6th commandment?,Thou shall not murder.,"We know we have passed from death to life because we love each other. Anyone who does not love remains in death.  Anyone who hates his brother has broken this command: ""Thou shall not murder."" This is how we know what love is: Jesus Christ laid down His life for us, and we ought to lay down our lives for our brother.",I John 3:14-16,The Word of God,4
7,You Shall Not Commit Adultery,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2007%20You%20Shall%20Not%20Commit%20Adultery.m4a,you_shall_not_commit_adultery,What is the 7th commandment?,You shall not commit adultery.,"Drink water from your own cistern, and running water from your own well. Should your fountains be dispersed abroad, streams of water in the streets? Let them be only your own, and not for strangers with you. Let your fountain be blessed. Rejoice in the wife of your youth, as a loving deer, as a loving hind and a graceful doe.",Proverbs 5:15-19,The Word of God,4
8,Thou Shall Not Steal,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2008%20Thou%20Shall%20Not%20Steal.m4a,thou_shall_not_steal,What is the 8th commandment?,Thou shall not steal.,"Thou shall not steal, he who has been stealing, thou shall not steal. He must steal from his brother no longer, but rather, let him work, doing honest work that he may share with those in need.",Ephesians 4:28,The Word of God,4
9,Do Not Lie,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2009%20Do%20Not%20Lie.m4a,do_not_lie,What is the 9th commandment?,Do not lie.,"Do not lie, the Lord detests the lying lips, but the Lord delights in the man who is truthful.",Proverbs 12:22,The Word of God,4
10,You Shall Not Covet,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2010%20You%20Shall%20Not%20Covet.m4a,you_shall_not_covet,What is the 10th commandment?,Do not covet.,"You shall not covet your neighbor's house, your neighbor's wife, your neighbor's ox. You shall not covet anything that belongs to your neighbor.;Be content with what you have. For God said, ""Never will I leave you, never will I forsake you.""",Exodus 20;Hebrews 13:5,The Word of God,4
