n,name,audio,page_name,question,answer,verseText,verseLocation
1,Who Is God?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2001%20Who%20Is%20God-.m4a,who_is_god,Who is God?,"God is the only living and true God. He's the all-glorious, almighty, all-knowing, sovereign Creator and Lord of the whole universe. God is perfect and holy, infinite, eternal, and unchanging.","To the King, eternal, immortal, invisible, the only God, be honor and glory forever and ever. Amen.",1 Timothy 1:17
2,Who Made God?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2002%20Who%20Made%20God-.m4a,who_made_god,Who made God?,Nobody made God.,"Before the mountains were born, or the earth and the world You brought forth, from everlasting to everlasting, You are God.",Psalm 90:2
3,Has God Ever Had a Beginning?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2003%20Has%20God%20Ever%20Had%20A%20Beginning-.m4a,has_god_ever_had_a_beginning,Has God ever had a beginning?,"No, God has always been.","Holy, Holy, Holy is the Lord God Almighty, who was and is and is to come.",Revelation 4:8
4,Will God Ever Die?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2004%20Will%20God%20Ever%20Die-.m4a,will_god_ever_die,Will God ever die?,"No, God lives forever!","Forever and ever, He is the living God and the everlasting King.;Your years go on and on through all generations, You remain the same, Your years will never end.",Jeremiah 10:10;Psalm 102:24 & 27
5,Are There More Gods Than One?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2005%20Are%20There%20More%20Gods%20Than%20One-.m4a,are_there_more_gods_than_one,Are there more gods than one?,"No, there is only one true God.
In Isaiah 45 God says ""I am the Lord. Apart from me, there is no god. I am God, and there is no other, I am God. I am God, and there is none like me. A righteous God and a Savior turn to me and be saved, all you ends of the earth; for I am God.""",,
6,In How Many Persons Does This One God Exist?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2006%20In%20How%20Many%20Persons%20Does%20This%20One%20God%20Exist-.m4a,in_how_many_persons_does_this_one_god_exist,In how many persons does this one God exist?,God exists in three persons.,"May the grace of the Lord Jesus Christ, and the love of God, and the fellowship of the Holy Spirit be with you all.",2 Corinthians 13:14
7,Who Are the Three Persons of God?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2007%20Who%20Are%20The%20Three%20Persons%20Of%20God-.m4a,who_are_the_three_persons_of_god,Who are the three persons of God?,"The three persons of God are the Father, the Son, and the Holy Spirit.","Therefore go and make disciples of every nation, baptizing them in the name of the Father and of the Son and of the Holy Ghost.",Matthew 28:19
8,Where Is God?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2008%20Where%20is%20God-.m4a,where_is_god,Where is God?,God is everywhere.,"Where can I go from Your Spirit? Where can I flee from Your presence, O Lord? If I go up to the heavens, You are there; if I make my bed in the depths, You are there.",Psalm 139:7-8
9,Can You See God?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2009%20Can%20You%20See%20God-.m4a,can_you_see_god,Can you see God?,"No, God is a spirit, and He doesn't have a body like man. Though I cannot see God, I know He always sees me.","""Am I only a God nearby, and not a God far away? Can anyone hide in secret places so that I cannot see Him? Do not I fill heaven and earth?"" declares the Lord.",Jeremiah 23:23-24
10,Does God Know All Things?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%201-%20God%20and%20Creation%20-%2010%20Does%20God%20Know%20All%20Things-.m4a,does_god_know_all_things,Does God know all things?,"Yes, God knows all things. Nothing can be hidden from God.","His eyes are on the ways of men; He sees their every step.;The eyes of the Lord are in every place, watching the evil and the good.",Job 34:21;Proverbs 15:3
