n,name,audio,page_name,question,answer,verseText,verseLocation
1,What Is a Covenant?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2001%20What%20Is%20A%20Covenant-.m4a,what_is_a_covenant,What is a covenant?,"An agreement that God makes with us, in which He guarantees to keep His promise.","He is the Lord our God; His judgments are in all the earth. He remembers His covenant forever, the word that He commanded, for a thousand generations.",Psalm 105:7-8
2,What Was Adam's Part in the Covenant in Order to Stay in the Garden of Eden?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2002%20What%20Was%20Adam's%20Part%20In%20The%20Covenant-.m4a,what_was_adam's_part_in_the_covenant_in_order_to_stay_in_the_garden_of_eden,What was Adam's part in the covenant in order to stay in the Garden of Eden?,Adam was required to obey God perfectly.,"The Lord God took the man and put him in the Garden of Eden to work it and take care of it.  And the Lord God commanded the man, ""You are free to eat from any tree in the garden, but you must not eat from the tree of the knowledge of good and evil, for when you eat from it, you will surely die.""",Genesis 2:15-17
3,Did Adam Obey God?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2003%20Did%20Adam%20Obey%20God-.m4a,did_adam_obey_god,Did Adam obey God?,"No, Adam chose to disobey God.","When the woman saw the fruit of the tree, that it was good for food and pleasing to see, and also desirable for gaining wisdom, she took some and ate, and gave some to her husband who was with her, and he ate it.",Genesis 3:6
4,How Did God Punish Adam's Disobedience?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2004%20How%20Did%20God%20Punish%20Adam's%20Disobediance-.m4a,how_did_god_punish_adam's_disobedience,How did God punish Adam's disobedience?,Adam's punishment was death and separation from God.,"Thorns and thistles, cursed is the ground. Pain and toil, through it you will eat all the days of your life. Adam was banished from the Garden of Eden, to work the ground from which he came, driven out of the Garden of Eden, guarded by the cherubim and flame.",Genesis 3:17-24
5,What Is Sin?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2005%20What%20is%20Sin-.m4a,what_is_sin,What is sin?,Sin is disobedience against God's perfect law by failing to do what God commands or doing what God forbids.,"Remember thy tender mercies, O Lord, and your steadfast love, for they have been of old. Remember not the sins of my youth nor my transgressions; according to thy mercy remember me, for the sake of your goodness, O Lord!",Psalm 25:6-7
6,Who Is Satan?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2006%20Who%20is%20Satan-.m4a,who_is_satan,Who is Satan?,Satan is an evil spirit who is the enemy of God and all Christians.,Be self-controlled and alert. Your enemy the Devil prowls like a roaring lion looking for someone to devour.,1 Peter 5:8
7,"Who Is Stronger, God or Satan?","https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2007%20Who%20Is%20Stronger,%20God%20Or%20Satan-.m4a","who_is_stronger,_god_or_satan","Who is stronger, God or Satan?",God is much stronger.,"You are from God, little children, and you have overcome them; for greater is He who is in you than he who is in the world.",1 John 4:4
8,What Was the Sin of Our First Parents?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2008%20What%20Was%20the%20Sin%20of%20Our%20First%20Parents-.m4a,what_was_the_sin_of_our_first_parents,What was the sin of our first parents?,"Eating the forbidden fruit.
The fall of man happened in Genesis 3:6.",,
9,Who Tempted Adam and Eve to Sin?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2009%20Who%20Tempted%20Adam%20&%20Eve%20To%20Sin-.m4a,who_tempted_adam_and_eve_to_sin,Who tempted Adam and Eve to sin?,"Satan tempted Eve, and she gave the fruit to Adam, and he ate it.","The serpent said to the woman, ""You will not surely die. For God knows that when you eat of it your eyes will be opened, and you will be like God, knowing good and evil.""",Genesis 3:4-5
10,What Happened to Adam and Eve When They Sinned?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%202-%20The%20Fall%20and%20Salvation%20-%2010%20What%20Happened%20to%20Adam%20&%20Eve%20when%20They%20Sinned-.m4a,what_happened_to_adam_and_eve_when_they_sinned,What happened to Adam and Eve when they sinned?,"Instead of being holy and happy, they became sinful and miserable.","And the Lord God said, ""The man has now become like one of us, knowing good and evil.""",Genesis 3:22
