n,name,audio,page_name,question,answer,verseText,verseLocation
1,Can You Repent and Believe in Christ By Your Own Power?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2001%20Can%20You%20Repent%20And%20Believe%20In%20Christ-.m4a,can_you_repent_and_believe_in_christ_by_your_own_power,Can you repent and believe in Christ by your own power?,"No, God has revealed it to me.","No eye has seen, no ear has heard, no mind has conceived what God has prepared for those who love Him, but God has revealed it to me. We have not received the spirit of the world, but the Spirit who is from God, that we may know and understand what God has freely given to me.",1 Corinthians 2:9-12
2,What Is Meant By the Atonement?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2002%20What%20Is%20Meant%20By%20The%20Atonement-.m4a,what_is_meant_by_the_atonement,What is meant by the Atonement?,We are saved from the wrath of God through His Son; we are saved through the life of Jesus His Son.,"God showed His great love for us; while we were still sinners, Christ died for us. Christ satisfied God's justice by His suffering and death in our place. Rejoice in our new and wonderful relationship with God.",Romans 5:8-11
3,How Were People Saved Before the Coming of Christ?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2003%20How%20Were%20People%20Saved%20Before%20the%20Coming%20of%20Christ-.m4a,how_were_people_saved_before_the_coming_of_christ,How were people saved before the coming of Christ?,People were saved by believing in a Savior to come.,"Abel, Enoch, Noah, Abraham, Isaac, Jacob, Sarah, Joseph, Moses' parents, Moses, Rahab, Gideon, Barak, Samson, Jephthah, David, Samuel, and the prophets looking forward to the city, the city with foundations, who's architect and builder is God, longing for Heaven. All of these people were still living by faith when they died. They did not receive the things promised; they only saw them from afar, they only saw and welcomed them from afar.",Hebrews 11
4,How Did People Show Their Faith Before the Coming of Christ?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2004%20How%20Did%20People%20Show%20Their%20Faith%20Before%20the%20Coming%20of%20Christ-.m4a,how_did_people_show_their_faith_before_the_coming_of_christ,How did people show their faith before the coming of Christ?;What did these sacrifices represent?,"They showed their faith by the offering of the sacrifices God did command.
Christ, the Lamb of God, who would die for the sin of the world.","By faith Abel offered a better sacrifice to God than his brother Cain; by faith, was commended a righteous man, God spoke well of his offerings.;""Look, the Lamb of God, who takes away the sin of the world!""",Hebrews 11:4;John 1:29
5,"How Did Christ, Being God the Son, Become Man?","https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2005%20How%20Did%20Christ,%20Being%20God%20The%20Son,%20Become%20Man-.m4a","how_did_christ,_being_god_the_son,_become_man","How did Christ, being God the Son, become man?","Christ, who is God the Son, became man by being conceived by the power of the Holy Spirit, with a real body and soul, in the womb of the Virgin Mary.","""Mary, do not be afraid, you have found favor with God. You will be with child and give birth to a son, and you will give Him the name Jesus. And He will be great; He will be called the Son of the Most High. The Lord God will give Him the throne of His father David, and He will reign over the house of Jacob forever; His kingdom will never end.""",Luke 1:30-33
6,Did Jesus Ever Sin?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2006%20Did%20Jesus%20Ever%20Sin-.m4a,did_jesus_ever_sin,Did Jesus ever sin?,"No, Jesus lived a sinless life.","He never sinned, in His mouth was no deceit found in Him.",1 Peter 2:22
7,What Kind of Death Did Christ Die?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2007%20What%20Kind%20Of%20Death%20Did%20Christ%20Die-.m4a,what_kind_of_death_did_christ_die,What kind of death did Christ die?,A painful and shameful death on the cross.,"Do not be selfish, don't try to impress, don't think of yourself as better than the rest.  Care about others, not only yourself, let the mind of Christ be in you, that's best. Let the mind of Christ be in you, who, being in very nature God, did not consider equality with God something to grasp. Christ humbled Himself; He became a servant. Born in the likeness of man, He became a servant. God exalted His name, gave Him the name above every name. Every knee will bow, every tongue will confess that Christ is Lord. To the glory of God, glory be to the Father!",Philippians 2:3-11
8,What Are the Offices Christ Fulfilled as the Promised Messiah?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2008%20What%20Are%20The%20Offices%20Christ%20Fulfilled-.m4a,what_are_the_offices_christ_fulfilled_as_the_promised_messiah,What are the offices Christ fulfilled as the promised Messiah?,"Prophet, Priest, and King.","Unto us a child is born, unto us, a son is given; and the government will be on His shoulders. He will be called Wonderful Counselor, Mighty God, Everlasting Father, Prince of Peace.",Isaiah 9:6
9,How Is Christ Your Prophet?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2009%20How%20Is%20Christ%20Your%20Prophet-.m4a,how_is_christ_your_prophet,How is Christ your prophet?,Christ teaches me the will of God.,"From the scroll of Isaiah 61, Christ stood up to read: ""The Spirit of the Lord is on me, because He has anointed me to preach the good news to the poor, to set the prisoner free, to give sight to the blind, release the oppressed, to proclaim the year of the Lord's favor."";Everything I have learned from my Father I have made known to you.",Luke 4:16-19;John 15:15
10,How Is Christ Your Priest?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%203-%20Christ%20and%20His%20Work%20-%2010%20How%20Is%20Christ%20Your%20Priest-.m4a,how_is_christ_your_priest,How is Christ your priest?,"Christ died for me; He prays for me, He washed away my every sin.",He is able once and forever to save those who come to God through Him. He's praying for me.,Hebrews 7:25
