n,name,audio,page_name,question,answer,verseText,verseLocation
1,You Shall Have No Other Gods Before Me,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2001%20You%20Shall%20Have%20No%20Other%20gods%20Before%20Me.m4a,you_shall_have_no_other_gods_before_me,What is the 1st commandment?,You shall have no other gods before me.,"So Moses went down from the mountain to the people, he went down from the mountain, and he said, ""God spoke all these words for you, my dears."" I am the Lord your God, who brought you out of Egypt, out of the land of slavery. You shall have no other gods before me. You shall have no other gods besides me.""",Exodus 19:25-20:1
2,You Shall Not Make for Yourself an Idol,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2002%20You%20Shall%20Not%20Make%20for%20Yourself%20an%20Idol.m4a,you_shall_not_make_for_yourself_an_idol,What is the 2nd commandment?,You shall not make for yourself an idol.,"You shall not make for yourself an idol in the form of anything. You shall not bow down or worship them; for I, the Lord your God, am a jealous God, punishing the children for the sin of the fathers to the third and the fourth generation of those who hate me, but showing mercy, showing love to a thousand generations of those who love me and keep my commands.",Exodus 20:4-6
3,Thou Shalt Not Take the Name of the Lord God in Vain,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2003%20Thou%20Shalt%20Not%20Take%20the%20Name%20of%20the%20Lord%20God%20in%20Vain.m4a,thou_shalt_not_take_the_name_of_the_lord_god_in_vain,What is the 3rd commandment?,Thou shalt not take the name of the Lord God in vain.,"Oh, give to the Lord, you sons of the mighty, both glory and strength to Jehovah accord. Oh, give to the Lord, His name's greatness of glory; in splendor of holiness, worship the Lord. Oh, the voice of Jehovah resounds on the waters; the glorious God thunders forth from the heights. The Lord is upon the great sweep of the waters, the Lord's voice in splendor, the Lord's voice in might.",Psalm 29:1-2
4,Sabbath Rest,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2004%20Sabbath%20Rest.m4a,sabbath_rest,What is the 4th commandment?,"Remember the Sabbath day, to keep it holy.","There remains then a Sabbath rest for the people of God. For in six days God made the heavens and the earth, then He rested the seventh day from His own work. He who enters God's rest also rests from his own works. Make every effort to enter that rest, so you won't fall. Therefore, since we have a great High Priest who's gone before us, Jesus the Son of God, let us hold firmly to the faith that we profess. He was tempted, like us, yet without sin. Let us approach the throne of grace with confidence, so we may receive mercy in our time of need. Rest in Jesus, our great High Priest, the Son of God.",Hebrews 4
5,Honor Your Father and Your Mother,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2005%20Honor%20Your%20Father%20and%20Your%20Mother.m4a,honor_your_father_and_your_mother,What is the 5th commandment?,Honor your father and your mother.,"Children, obey your parents in the Lord, for this is right. ""Honor your father and your mother"" which is the first commandment with a promise, ""that it may go well with you and you may live long on the earth.""",Ephesians 6:1
6,Thou Shall Not Murder,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2006%20Thou%20Shall%20Not%20Murder.m4a,thou_shall_not_murder,What is the 6th commandment?,Thou shall not murder.,"We know we have passed from death to life because we love each other. Anyone who does not love remains in death.  Anyone who hates his brother has broken this command: ""Thou shall not murder."" This is how we know what love is: Jesus Christ laid down His life for us, and we ought to lay down our lives for our brother.",I John 3:14-16
7,You Shall Not Commit Adultery,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2007%20You%20Shall%20Not%20Commit%20Adultery.m4a,you_shall_not_commit_adultery,What is the 7th commandment?,You shall not commit adultery.,"Drink water from your own cistern, and running water from your own well. Should your fountains be dispersed abroad, streams of water in the streets? Let them be only your own, and not for strangers with you. Let your fountain be blessed. Rejoice in the wife of your youth, as a loving deer, as a loving hind and a graceful doe.",Proverbs 5:15-19
8,Thou Shall Not Steal,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2008%20Thou%20Shall%20Not%20Steal.m4a,thou_shall_not_steal,What is the 8th commandment?,Thou shall not steal.,"Thou shall not steal, he who has been stealing, thou shall not steal. He must steal from his brother no longer, but rather, let him work, doing honest work that he may share with those in need.",Ephesians 4:28
9,Do Not Lie,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2009%20Do%20Not%20Lie.m4a,do_not_lie,What is the 9th commandment?,Do not lie.,"Do not lie, the Lord detests the lying lips, but the Lord delights in the man who is truthful.",Proverbs 12:22
10,You Shall Not Covet,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2010%20You%20Shall%20Not%20Covet.m4a,you_shall_not_covet,What is the 10th commandment?,Do not covet.,"You shall not covet your neighbor's house, your neighbor's wife, your neighbor's ox. You shall not covet anything that belongs to your neighbor.;Be content with what you have. For God said, ""Never will I leave you, never will I forsake you.""",Exodus 20;Hebrews 13:5
11,Where Do We Learn to Love and Obey God?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2011%20Where%20Do%20We%20Learn%20to%20Love%20and%20Obey%20God-.m4a,where_do_we_learn_to_love_and_obey_god,Where do we learn to love and obey God?,"In the Bible, we learn to love and obey God.","Keep this book of the Law always on your lips; meditate on it day and night, so that you may be careful to do everything written in it.",Joshua 1:8
12,Who Wrote the Bible?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2012%20Who%20Wrote%20the%20Bible-.m4a,who_wrote_the_bible,Who wrote the Bible?,"Holy men of God, who were taught and chosen by God, wrote the Bible.","So I will remind you always of these things, even though you know them, even though you're established in the truth you now have. Still, I'll always remind you of these things, for I know it is right to refresh your memory for as long as the tent of this body I'm in.;And you will do well to pay attention to it, as a light shining in the dark, until the day dawns and the morning star arises in your hearts. Men spoke from God as they were carried along by the Holy Spirit.",2 Peter 1:12-15;2 Peter 1:19-21
13,What's the Greatest Command?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2013%20What's%20the%20Greatest%20Command-.m4a,what's_the_greatest_command,What's the greatest command?,"Love the Lord your God with all your heart, soul, and mind; and the second is like it, love your neighbor as yourself.","Teacher, what's the greatest command?  ""Love the Lord your God with all your heart, soul, and mind. This is the great and first commandment. And the second is like it: ""You shall love your neighbor as yourself.""  This sums up the Ten Commandments.",Matthew 22:36
14,Is God Pleased With Those Who Love and Obey Him?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2014%20Is%20God%20Pleased%20with%20Those%20Who%20Love%20and%20Obey%20Him-.m4a,is_god_pleased_with_those_who_love_and_obey_him,Is God pleased with those who love and obey Him?,"Yes, He loves those who love Him.","I love those who love me, and those who seek me will find me.;He who has my commands and keeps them, it is he who loves me. He who loves me will be loved by my Father, and I will love him, and I will show myself to him.",Proverbs 8:17;John 14:21
15,Is God Displeased With Those Who Do Not Love and Obey Him?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2015%20Is%20God%20Displeased%20with%20Those%20Who%20Do%20Not%20Love%20and%20Obey%20Him-.m4a,is_god_displeased_with_those_who_do_not_love_and_obey_him,Is God displeased with those who do not love and obey Him?,"Yes, God is angry with the wicked every day.","O righteous God, on High, who searches minds and hearts; end the violence of the wicked and make the righteous secure. My shield is God Most High, who saves the upright in heart. God is a righteous judge, feeling anger every day.;Don't tear your clothing in your grief, but tear your hearts instead. Return to the Lord your God, for He is mercy and compassion, slow to anger, filled with unfailing love. (He is eager to relent!)",Psalm 7:9-11;Joel 2:13
16,Of What Use Are the Ten Commandments?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2016%20Of%20What%20Use%20Are%20the%20Ten%20Commandments-.m4a,of_what_use_are_the_ten_commandments,Of what use are the Ten Commandments?,"They teach us our duty to God and our duty to man, and they show us our need for a Savior.","Things revealed are yours and mine and our children's forever, so that we may follow in the words of the law.",Deuteronomy 29:29
